Good\image0.jpg 4 14 15 43 48 66 45 93 79 71 9 94 35 5 36 26 67 
Good\image1.jpg 1 0 0 100 66 
Good\image2.jpg 4 46 2 71 32 20 16 56 47 56 19 80 53 0 3 22 31 
Good\image3.jpg 1 0 0 100 74 
Good\image4.jpg 1 0 0 100 66 
Good\image5.jpg 1 0 0 100 66 
Good\image6.jpg 1 0 0 100 100 
Good\image7.jpg 1 0 0 100 133 
Good\image8.jpg 1 0 0 100 100 
Good\image9.jpg 1 0 0 100 66 
Good\image10.jpg 1 0 0 100 67 
Good\image11.jpg 1 0 0 100 66 
Good\image12.jpg 1 0 0 100 92 
Good\image13.jpg 1 0 0 100 100 
Good\image14.jpg 1 0 0 100 56 
Good\image15.jpg 1 0 0 100 68 
Good\image16.jpg 1 0 0 100 56 
Good\image17.jpg 1 0 0 100 82 
Good\image18.jpg 1 0 0 100 50 
Good\image19.jpg 1 0 0 100 100 
Good\image20.jpg 1 0 0 100 64 
Good\image21.jpg 1 0 0 100 100 
Good\image22.jpg 1 0 0 100 50 
Good\image23.jpg 1 0 0 100 74 
Good\image24.jpg 1 0 0 100 66 
Good\image25.jpg 1 0 0 100 66 
Good\image26.jpg 1 0 0 100 100 
Good\image27.jpg 1 0 0 100 133 
Good\image28.jpg 1 0 0 100 100 
Good\image29.jpg 1 0 0 100 66 
Good\image30.jpg 1 0 0 100 67 
Good\image31.jpg 1 0 0 100 66 
Good\image32.jpg 1 0 0 100 92 
Good\image33.jpg 1 0 0 100 100 
Good\image34.jpg 1 0 0 100 56 
Good\image35.jpg 1 0 0 100 68 
Good\image36.jpg 1 0 0 100 56 
Good\image37.jpg 1 0 0 100 82 
Good\image38.jpg 1 0 0 100 50 
Good\image39.jpg 1 0 0 100 100 
Good\image40.jpg 1 0 0 100 64 
Good\image41.jpg 1 0 0 100 100 
Good\image42.jpg 1 0 0 100 50 
